data,webcam,preprocessamento,modelo,avaliacao
2025-05-03 17:16:35,1,1,1,1
2025-05-03 17:19:42,1,1,1,1
2025-05-03 17:20:35,1,1,1,1
2025-05-03 17:21:18,1,1,1,1
